Country,iso_code,date,VaccinationRate,,,,,,,,,total_vaccinations_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred
Afghanistan,AFG,5/30/2021,4746,,,,,,,,,,,
Afghanistan,AFG,5/31/2021,5084,,,,,,,,,,,
Afghanistan,AFG,6/1/2021,5102,,,,,,,,,,,
Afghanistan,AFG,6/2/2021,5119,,,,,,,,,,,
Afghanistan,AFG,6/3/2021,5285,,,,,,,,,,,
Afghanistan,AFG,6/4/2021,5273,,,,,,,,,,,
Afghanistan,AFG,6/5/2021,5261,,,,,,,,,,,
Afghanistan,AFG,6/6/2021,5250,,,,,,,,,,,
Afghanistan,AFG,6/7/2021,4319,,,,,,,,,,,
Afghanistan,AFG,6/8/2021,3388,,,,,,,,,,,
Afghanistan,AFG,6/9/2021,2637,,,,,,,,,,,
Afghanistan,AFG,6/10/2021,2556,,,,,,,,,,,
Afghanistan,AFG,6/11/2021,2735,,,,,,,,,,,
Afghanistan,AFG,6/12/2021,2914,,,,,,,,,,,
Afghanistan,AFG,6/13/2021,3093,,,,,,,,,,,
Afghanistan,AFG,6/14/2021,3272,,,,,,,,,,,
Afghanistan,AFG,6/15/2021,4813,,,,,,,,,,,
Afghanistan,AFG,6/16/2021,6175,,,,,,,,,,,
Afghanistan,AFG,6/17/2021,7538,,,,,,,,,,,
Afghanistan,AFG,6/18/2021,8900,,,,,,,,,,,
Afghanistan,AFG,6/19/2021,10262,,,,,,,,,,,
Afghanistan,AFG,6/20/2021,11624,,,,,,,,,,,
Afghanistan,AFG,6/21/2021,12986,,,,,,,,,,,
Afghanistan,AFG,6/22/2021,12986,,,,,,,,,,,
Afghanistan,AFG,6/23/2021,13125,,,,,,,,,,,
Afghanistan,AFG,6/24/2021,13264,,,,,,,,,,,
Afghanistan,AFG,6/25/2021,13404,,,,,,,,,,,
Afghanistan,AFG,6/26/2021,13543,,,,,,,,,,,
Afghanistan,AFG,6/27/2021,13682,,,,,,,,,,,
Afghanistan,AFG,6/28/2021,14263,,,,,,,,,,,
Afghanistan,AFG,6/29/2021,14844,,,,,,,,,,,
Afghanistan,AFG,6/30/2021,15286,,,,,,,,,,,
Afghanistan,AFG,7/1/2021,14115,,,,,,,,,,,
Afghanistan,AFG,7/2/2021,12944,,,,,,,,,,,
Afghanistan,AFG,7/3/2021,11773,,,,,,,,,,,
Afghanistan,AFG,7/4/2021,10602,,,,,,,,,,,
Afghanistan,AFG,7/5/2021,8989,,,,,,,,,,,
Afghanistan,AFG,7/6/2021,7895,,,,,,,,,,,
Afghanistan,AFG,7/7/2021,6801,,,,,,,,,,,
Afghanistan,AFG,7/8/2021,6965,,,,,,,,,,,
Afghanistan,AFG,7/9/2021,7128,,,,,,,,,,,
Afghanistan,AFG,7/10/2021,7292,,,,,,,,,,,
Afghanistan,AFG,7/11/2021,7455,,,,,,,,,,,
Afghanistan,AFG,7/12/2021,9588,,,,,,,,,,,
Afghanistan,AFG,7/13/2021,11201,,,,,,,,,,,
Afghanistan,AFG,7/14/2021,12815,,,,,,,,,,,
Afghanistan,AFG,7/15/2021,14331,,,,,,,,,,,
Afghanistan,AFG,7/16/2021,15848,,,,,,,,,,,
Afghanistan,AFG,7/17/2021,17364,,,,,,,,,,,
Afghanistan,AFG,7/18/2021,18881,,,,,,,,,,,
Afghanistan,AFG,7/19/2021,17753,,,,,,,,,,,
Afghanistan,AFG,7/20/2021,16626,,,,,,,,,,,
Afghanistan,AFG,7/21/2021,15499,,,,,,,,,,,
Afghanistan,AFG,7/22/2021,14824,,,,,,,,,,,
Afghanistan,AFG,7/23/2021,14150,,,,,,,,,,,
Afghanistan,AFG,7/24/2021,13476,,,,,,,,,,,
Afghanistan,AFG,7/25/2021,11132,,,,,,,,,,,
Afghanistan,AFG,7/26/2021,9464,,,,,,,,,,,
Afghanistan,AFG,7/27/2021,7795,,,,,,,,,,,
Afghanistan,AFG,7/28/2021,6126,,,,,,,,,,,
Afghanistan,AFG,7/29/2021,4457,,,,,,,,,,,
Afghanistan,AFG,7/30/2021,2788,,,,,,,,,,,
Afghanistan,AFG,7/31/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/1/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/2/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/3/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/4/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/5/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/6/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/7/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/8/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/9/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/10/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/11/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/12/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/13/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/14/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/15/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/16/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/17/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/18/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/19/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/20/2021,1119,,,,,,,,,,,
Afghanistan,AFG,8/21/2021,11068,,,,,,,,,,,
Afghanistan,AFG,8/22/2021,21017,,,,,,,,,,,
Afghanistan,AFG,8/23/2021,30966,,,,,,,,,,,
Afghanistan,AFG,8/24/2021,40914,,,,,,,,,,,
